trace_id,side,role,is_fee_evaluated,platform_fee_rate,platform_fee_asset,exchange_fee_rate,exchange_fee_asset
9206059401937098593,Bid,Maker,False,-0.00131,aux,-0.00131,aux
9206064624617149272,Bid,Maker,False,-0.00131,aux,-0.00131,aux
9206069572418305626,Bid,Maker,True,-0.00131,aux,-0.00131,aux
9206078368512344173,Bid,Maker,False,-0.00131,aux,-0.00131,aux
9206079468024317185,Bid,Maker,False,-0.00131,aux,-0.00131,aux
9206079468024317185,Bid,Maker,False,-0.00131,aux,-0.00131,aux
9206079742901615034,Bid,Maker,False,-0.00131,aux,-0.00131,aux
9206079742901615034,Bid,Maker,False,-0.00131,aux,-0.00222,aux
9206080017779645022,Bid,Maker,True,-0.00131,aux,-0.00131,aux
9206108605084166353,Ask,Maker,False,-0.00131,aux,-0.00131,aux
9206113003129703902,Ask,Maker,True,-0.00131,aux,-0.00131,aux
9206126197267968403,Bid,Maker,True,-0.00131,aux,-0.00131,aux
9206129495803898983,Bid,Maker,False,-0.00131,aux,-0.00131,aux
9206133618971444708,Bid,Maker,False,-0.00131,aux,-0.00131,aux
9206152585548740546,Bid,Maker,False,-0.01,quote,-0.01,quote
9206160282128008408,Ask,Maker,False,-0.00131,aux,-0.00131,aux
9206167154075024822,Bid,Maker,True,-0.01,quote,0.0,base
9206288650110255315,Ask,Maker,False,-0.00131,aux,-0.00131,aux
9206302943761025997,Ask,Maker,False,-0.00131,aux,-0.00131,aux
9206304867906765598,Bid,Maker,False,-0.01,quote,-0.01,quote
9206306242298528920,Bid,Maker,False,-0.00131,aux,-0.00131,aux
9206306242298528920,Bid,Maker,False,-0.00131,aux,-0.00131,aux
9206328507407226981,Ask,Maker,False,-0.05752,base,-0.05752,base
9206333455211325305,Ask,Maker,True,-0.00131,aux,-0.00131,aux
9206333455212385775,Ask,Maker,False,-0.05736,base,-0.05736,base
9206333455212385775,Ask,Maker,False,-0.05736,base,-0.05736,base
9206671829912551872,Ask,Taker,True,0.022,quote,0.022,quote
9206785904243638548,Bid,Maker,False,-0.00129,aux,-0.00129,aux
9206853799088706979,Bid,Maker,True,-0.01,quote,0.0,base
9206856822744316424,Bid,Maker,False,-0.01,quote,-0.01,quote
9206931864414492773,Bid,Maker,False,-0.01,quote,-0.01,quote
9207376341988418632,Bid,Maker,False,-0.01,quote,-0.01,quote
9207376341991504291,Bid,Maker,False,-0.01,quote,-0.01,quote
9207907955860593646,Ask,Maker,True,-0.0,base,0.0,quote
9208732039826812975,Bid,Maker,False,-0.0013,aux,-0.0013,aux
9210494831842652449,Bid,Maker,False,-0.01,quote,-0.01,quote
9211048985704352055,Bid,Maker,False,-0.00131,aux,-0.00131,aux
9211177353687232759,Bid,Maker,False,-0.00131,aux,-0.00131,aux
9211177353687232759,Bid,Maker,False,-0.00131,aux,-0.00131,aux
9212250202155629979,Ask,Maker,False,-0.0,base,-0.0,base
9212324144315808769,Ask,Maker,True,-0.00131,aux,-0.00131,aux
9212835417221731329,Bid,Maker,True,-0.0013,aux,-0.0013,aux
9212920354496146257,Bid,Maker,False,-0.00195,aux,-0.00195,aux
9212920354496470477,Bid,Maker,True,-0.00195,aux,-0.03906,aux
9212920354496474973,Bid,Maker,False,-0.0013,aux,-0.0013,aux
