side,role,platform_fee_rate,platform_fee_asset,exchange_fee_rate,exchange_fee_asset
Bid,Maker,-0.0006682106673656,aux,0,base
Bid,Maker,-0.0011290760157273,aux,0,base
Ask,Maker,-0.0011322589098532,aux,0,quote
Ask,Maker,-0.001133752620545,aux,0,quote
Bid,Maker,-0.0006153518542786,aux,0,base
Bid,Maker,-0.0006208218639402,aux,0,base
Bid,Maker,-0.0011314392449862,aux,0,base
Bid,Maker,-0.0047295,quote,-0.0047295,quote
Ask,Maker,-0.0011222178529296,aux,0,quote
Bid,Maker,-0.0046911,quote,0,base
Ask,Maker,-0.0011358114293186,aux,0,quote
Ask,Maker,-0.001142019884877,aux,0,quote
Bid,Maker,-0.00473625,quote,-0.00473625,quote
Bid,Maker,-0.0011393745092907,aux,0,base
Bid,Maker,-0.0011393745092907,aux,0,base
Ask,Maker,-0.05,base,-0.05,base
Ask,Maker,-0.0011393758995158,aux,0,quote
Ask,Maker,-0.05,base,-0.05,base
Ask,Maker,-0.05,base,-0.05,base
Ask,Taker,0.01743687,quote,0.01743687,quote
Bid,Maker,-0.0006142894123738,aux,0,base
Bid,Maker,-0.007412,quote,0,base
Bid,Maker,-0.0012663402,quote,-0.0012663402,quote
Bid,Maker,-0.004752,quote,-0.004752,quote
Bid,Maker,-0.000393029868,quote,-0.000393029868,quote
Bid,Maker,-0.008180920132,quote,-0.008180920132,quote
Ask,Maker,-3e-06,base,0,quote
Bid,Maker,-0.0010990703419581,aux,0,base
Bid,Maker,-0.00836045,quote,-0.00836045,quote
Bid,Maker,-0.0010923383930908,aux,0,base
Bid,Maker,-0.0006186617877679,aux,0,base
Bid,Maker,-0.0006186617877679,aux,0,base
Ask,Maker,-3e-06,base,-0.000003,base
Ask,Maker,-0.0006115543464009,aux,0,quote
Bid,Maker,-0.0010549674054758,aux,0,base
Bid,Maker,-0.0012434275390625,aux,0,base
Bid,Maker,-6.54435546875e-05,aux,0,base
Bid,Maker,-0.0006103515625,aux,0,base
