side,role,platform_fee_rate,platform_fee_asset,exchange_fee_rate,exchange_fee_asset,fee_mismatch,asset_mismatch,difference,sign_mismatch
Bid,Maker,-0.0006107198242439,aux,0.0,base,True,True,-0.0006107198242439,False
Bid,Maker,-0.0010798134231666,aux,0.0,base,True,True,-0.0010798134231666,False
Ask,Maker,-0.0009888728891216,aux,0.0,quote,True,True,-0.0009888728891216,False
Ask,Maker,-0.0009892670157068,aux,0.0,quote,True,True,-0.0009892670157068,False
Ask,Maker,-0.0009894214444299,aux,0.0,quote,True,True,-0.0009894214444299,False
Bid,Maker,-0.0010839166338969,aux,0.0,base,True,True,-0.0010839166338969,False
Ask,Maker,-0.0010388764488935,aux,0.0,quote,True,True,-0.0010388764488935,False
Bid,Maker,-0.00784665,quote,0.0,base,True,True,-0.00784665,False
Bid,Maker,-0.00784665,quote,0.0,base,True,True,-0.00784665,False
Bid,Maker,-0.0013446219704952,aux,0.0,base,True,True,-0.0013446219704952,False
Ask,Maker,-0.0010995153896529,aux,0.0,quote,True,True,-0.0010995153896529,False
Ask,Maker,-0.0011043483955468,aux,0.0,quote,True,True,-0.0011043483955468,False
Ask,Maker,-0.0011043483955468,aux,0.0,quote,True,True,-0.0011043483955468,False
Ask,Maker,-0.05,base,0.0,quote,True,True,-0.05,False
Bid,Maker,-0.00845455,quote,0.0,base,True,True,-0.00845455,False
Bid,Maker,-0.0008974178513425,aux,0.0,base,True,True,-0.0008974178513425,False
Bid,Maker,-0.0008974178513425,aux,0.0,base,True,True,-0.0008974178513425,False
Bid,Maker,-0.0011084490437516,aux,0.0,base,True,True,-0.0011084490437516,False
Ask,Maker,-0.0011212355718782,aux,0.0,quote,True,True,-0.0011212355718782,False
Ask,Maker,-0.000978157875,aux,0.0,quote,True,True,-0.000978157875,False
Ask,Maker,-0.0005073746390128,aux,0.0,quote,True,True,-0.0005073746390128,False
Bid,Maker,-0.0011302674708273,aux,0.0,base,True,True,-0.0011302674708273,False
Bid,Maker,-0.0006216588050314,aux,0.0,base,True,True,-0.0006216588050314,False
Bid,Maker,-0.0011290170380078,aux,0.0,base,True,True,-0.0011290170380078,False
Bid,Maker,-0.0006211336828309,aux,0.0,base,True,True,-0.0006211336828309,False
Bid,Maker,-0.0004611340246395,aux,0.0,base,True,True,-0.0004611340246395,False
Bid,Maker,-0.0004611340246395,aux,0.0,base,True,True,-0.0004611340246395,False
Bid,Maker,-0.0006682106673656,aux,0.0,base,True,True,-0.0006682106673656,False
Bid,Maker,-0.0006682106673656,aux,0.0,base,True,True,-0.0006682106673656,False
Bid,Maker,-0.0011290760157273,aux,0.0,base,True,True,-0.0011290760157273,False
Ask,Maker,-0.0011322589098532,aux,0.0,quote,True,True,-0.0011322589098532,False
Ask,Maker,-0.001133752620545,aux,0.0,quote,True,True,-0.001133752620545,False
Bid,Maker,-0.0006153518542786,aux,0.0,base,True,True,-0.0006153518542786,False
Bid,Maker,-0.0006208218639402,aux,0.0,base,True,True,-0.0006208218639402,False
Bid,Maker,-0.0011314392449862,aux,0.0,base,True,True,-0.0011314392449862,False
Ask,Maker,-0.0011222178529296,aux,0.0,quote,True,True,-0.0011222178529296,False
Bid,Maker,-0.0046911,quote,0.0,base,True,True,-0.0046911,False
Ask,Maker,-0.0011358114293186,aux,0.0,quote,True,True,-0.0011358114293186,False
Ask,Maker,-0.001142019884877,aux,0.0,quote,True,True,-0.001142019884877,False
Bid,Maker,-0.0011393745092907,aux,0.0,base,True,True,-0.0011393745092907,False
Bid,Maker,-0.0011393745092907,aux,0.0,base,True,True,-0.0011393745092907,False
Ask,Maker,-0.0011393758995158,aux,0.0,quote,True,True,-0.0011393758995158,False
Bid,Maker,-0.0006142894123738,aux,0.0,base,True,True,-0.0006142894123738,False
Bid,Maker,-0.007412,quote,0.0,base,True,True,-0.007412,False
Ask,Maker,-3e-06,base,0.0,quote,True,True,-3e-06,False
Bid,Maker,-0.0010990703419581,aux,0.0,base,True,True,-0.0010990703419581,False
Bid,Maker,-0.0010923383930908,aux,0.0,base,True,True,-0.0010923383930908,False
Bid,Maker,-0.0006186617877679,aux,0.0,base,True,True,-0.0006186617877679,False
Bid,Maker,-0.0006186617877679,aux,0.0,base,True,True,-0.0006186617877679,False
Ask,Maker,-0.0006115543464009,aux,0.0,quote,True,True,-0.0006115543464009,False
Bid,Maker,-0.0010549674054758,aux,0.0,base,True,True,-0.0010549674054758,False
Bid,Maker,-0.0012434275390625,aux,0.0,base,True,True,-0.0012434275390625,False
Bid,Maker,-6.54435546875e-05,aux,0.0,base,True,True,-6.54435546875e-05,False
Bid,Maker,-0.0006103515625,aux,0.0,base,True,True,-0.0006103515625,False
